FPS: 34 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 19 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 23 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
