FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 28 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 33 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 29 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
