FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 21 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 3 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
