FPS: 25 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 17 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 17 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 26 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 26 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 26 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 26 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
