FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 11 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
