FPS: 34 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 22 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 33 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 28 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 0.751315 | tx,ty: 0.172656,0.119444
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 26 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 29 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 31 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 32 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 30 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 29 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
FPS: 31 [CPU] | Filter: None | Block: 12 | rot(deg): 48.1285 | scale: 0.751315 | tx,ty: 0.203906,0.129167
